rank,junction_clean,volume,impact,active_days,active_cells,high_sev_events,junction_events,top_violation,top_vehicle,peak_dow,peak_hour,intensity,c_volume,c_impact,c_recur,c_intensity,priority_score,impact_share,cum_impact_share,volume_share,cum_volume_share
59,BTP136 - Hosur-Tavarkere Road Junction,316,1293.0,85,10,115,316,NO PARKING,CAR,Friday,2,31.6,0.02646759416355616,0.0353476821192053,0.5540540540540541,0.01946796166573553,13.404297205145987,0.003366700906509606,0.8650351316411298,0.002566289032362854,0.8685020505948758
60,"BTP189 - New Diagonal Road, Jayanagar",518,1560.0,74,5,2,518,NO PARKING,SCOOTER,Wednesday,9,103.6,0.04360366474380726,0.04271523178807947,0.4797297297297297,0.06588164510722419,13.385962326099957,0.0040619129266473205,0.8690970445677771,0.004206764932797336,0.8727088155276732
61,BTP126 - Dairy Circle,253,1083.0,88,10,108,253,PARKING IN A MAIN ROAD,CAR,Saturday,7,25.3,0.021123176111299626,0.02955298013245033,0.5743243243243243,0.015406764364605271,13.385637539930318,0.0028199049356147743,0.8719169495033919,0.0020546554594550698,0.8747634709871283
62,BTP219 - Canara Bank Junction,315,960.0,82,4,5,315,NO PARKING,CAR,Sunday,10,78.75,0.026382762130980657,0.026158940397350994,0.5337837837837838,0.049862477974988176,13.130658623137204,0.0024996387240906587,0.8744165882274826,0.0025581678645389206,0.8773216388516671
63,BTP068 - Veeresh Theatre Junction,448,1351.5,72,7,3,448,NO PARKING,SCOOTER,Sunday,11,64.0,0.037665422463522225,0.03696192052980132,0.46621621621621623,0.04035411921440543,12.35326600498912,0.0035190226412588808,0.8779356108687415,0.0036382831851220205,0.8809599220367892
64,BTP018 - Dhobi Ghat Junction,312,1060.5,78,7,42,312,WRONG PARKING,CAR,Saturday,10,44.57142857142857,0.026128266033254157,0.028932119205298014,0.5067567567567568,0.02782979193654341,12.349054167366344,0.0027613196530188997,0.8806969305217603,0.0025338043610671213,0.8834937263978563
65,BTP172 - Nanjappa Circle,693,2082.0,58,8,1,693,NO PARKING,SCOOTER,Wednesday,4,86.625,0.05844927044451985,0.057119205298013245,0.3716216216216216,0.054938974601401,12.009167350219506,0.005421091482871616,0.886118022004632,0.005627969301985626,0.8891216956998419
66,BTP076 - Hudson Circle,389,1195.5,69,4,10,389,NO PARKING,SCOOTER,Thursday,4,97.25,0.032660332541567694,0.03265728476821192,0.44594594594594594,0.061788216081481794,11.968557103275595,0.0031128313485941487,0.8892308533532262,0.0031591342835099686,0.8922808299833519
67,BTP180 - Swagath Poornima Theatre,232,711.0,76,5,6,232,NO PARKING,CAR,Saturday,2,46.4,0.019341703427214117,0.019288079470198675,0.49324324324324326,0.029008552150930424,11.555327031402198,0.001851294930029644,0.8910821482832558,0.001884110935152475,0.8941649409185044
68,BTP130 - GD Mara Junction,572,1771.5,58,6,19,572,NO PARKING,SCOOTER,Thursday,11,95.33333333333333,0.04818459450288429,0.04855132450331126,0.3716216216216216,0.06055266663801624,11.485556624705099,0.004612614583048544,0.8956947628663043,0.004645307995289723,0.8988102489137941
69,BTP091 - Sirsi Circle,233,891.0,72,9,64,233,NO PARKING,CAR,Sunday,3,25.88888888888889,0.019426535459789618,0.02425496688741722,0.46621621621621623,0.015786382454481645,10.992839965994841,0.002319977190796643,0.898014740057101,0.001892232102976408,0.9007024810167705
70,BTP225 - Geetha Junction,253,781.5,68,4,8,253,NO PARKING,SCOOTER,Sunday,9,63.25,0.021123176111299626,0.021233443708609273,0.4391891891891892,0.03987064334522326,10.758709247102447,0.0020348621488300517,0.9000496022059311,0.0020546554594550698,0.9027571364762256
